time_s,gyro_pitch_rad_s
24.72,0.33561523622870487
24.73,0.3347297404434842
24.74,0.3567159761279079
24.75,0.3661047365674849
24.76,0.36186669077726585
24.77,0.3840703277458236
24.78,0.36159135083144595
24.79,0.38742479448301764
24.8,0.3800348921594424
24.81,0.40896603277181337
24.82,0.4174581749014152
24.83,0.3957103719349471
24.84,0.4038095441781141
24.85,0.4239145204286071
24.86,0.4175472672277909
24.87,0.42715182468501284
24.88,0.4341356029654072
24.89,0.42105013441297906
24.9,0.44656390204944346
24.91,0.4463515325772768
24.92,0.4549560264455076
24.93,0.48105466942963415
24.94,0.46087769805562134
24.95,0.4884931625342909
24.96,0.4845842798811694
24.97,0.4916840100855436
24.98,0.5095883018167866
24.99,0.5123836097687575
25.0,0.5220834626926513
25.01,0.5335492155934612
25.02,0.5281400943733691
25.03,0.5330122545469382
25.04,0.5360599401253374
25.05,0.5465291675532957
25.06,0.592240546612543
25.07,0.5832565970114008
25.08,0.5654523577061917
25.09,0.5739840156475611
25.1,0.6003638920471989
25.11,0.6094444592126447
25.12,0.6179758232782924
25.13,0.6185396907397808
25.14,0.6285223991739048
25.15,0.641827039411345
25.16,0.6482601044957069
25.17,0.6341405843906887
25.18,0.6630451802451253
25.19,0.6659134016989665
25.2,0.6853359317302244
25.21,0.7226620167638237
25.22,0.7057761412518314
25.23,0.7083210814801442
25.24,0.73008930788515
25.25,0.7351694914396136
25.26,0.7440676685053081
25.27,0.7555083624413872
25.28,0.7796235248891978
25.29,0.7574084661583145
25.3,0.7831497442631906
25.31,0.7788781385138772
25.32,0.803453560263785
25.33,0.7984913818883662
25.34,0.8133029647662049
25.35,0.824337812664887
25.36,0.8468676531001689
25.37,0.8561183888764936
25.38,0.8442993951787836
25.39,0.8671216797121571
25.4,0.8692799370349363
25.41,0.8735762013088274
25.42,0.8937531168516085
25.43,0.9025713418235894
25.44,0.9396213099695478
25.45,0.9293409889783543
25.46,0.9208458434076386
25.47,0.9385323397091112
25.48,0.963893403932468
25.49,0.983998865595848
25.5,0.9566187473363724
25.51,0.962966613859034
25.52,1.0096797437951974
25.53,1.003981215556993
25.54,1.0004216382219975
25.55,1.0233685973346758
25.56,1.0004745391157654
25.57,1.0355611555446311
25.58,1.047380363979715
25.59,1.0617926601668277
25.6,1.0507255445995922
25.61,1.0698963451782044
25.62,1.0678143113193332
25.63,1.0874992935023737
25.64,1.0837104186090254
25.65,1.0961365575677116
25.66,1.0976421068553022
25.67,1.1213171073049049
25.68,1.1304123383131437
25.69,1.1263141456991521
25.7,1.1356795808556148
25.71,1.1272463889120754
25.72,1.1449628676913588
25.73,1.1534711782380853
25.74,1.1859750937416058
25.75,1.1542159323227752
25.76,1.1853145385757262
25.77,1.1857415387560633
25.78,1.1834368988999715
25.79,1.202826186412871
25.8,1.1933169017034972
25.81,1.1975843767012455
25.82,1.1969943459153565
25.83,1.213324706520503
25.84,1.2153428567206699
25.85,1.2011313260869303
25.86,1.1969215848826777
25.87,1.210521602352927
25.88,1.2066952815519965
25.89,1.2159072472869377
25.9,1.2304620831015682
25.91,1.2147542534886675
25.92,1.2198291083205464
25.93,1.2214544635472555
25.94,1.2296587594077952
25.95,1.1986857766655667
25.96,1.2147447686422495
25.97,1.222255667732725
25.98,1.2311459168002103
25.99,1.2128971256447296
26.0,1.1973880767167693
26.01,1.2203525272107385
26.02,1.2054661028484122
26.03,1.1972482586585065
26.04,1.199886168120848
26.05,1.200927415508648
26.06,1.1930257139553917
26.07,1.1729747757196787
26.08,1.199614746558287
26.09,1.198662695835189
26.1,1.1873553325403061
26.11,1.164046079297552
26.12,1.1676481076377259
26.13,1.163496026744774
26.14,1.1631066568044914
26.15,1.15702023334342
26.16,1.1358754953840717
26.17,1.136581790133566
26.18,1.1325456023811669
26.19,1.1344107724409052
26.2,1.1184488339332836
26.21,1.1105199593349804
26.22,1.0943708760440907
26.23,1.0982214505941357
26.24,1.0784834541510244
26.25,1.0557325609233374
26.26,1.068027569232791
26.27,1.0503205520247885
26.28,1.027960585003758
26.29,1.016352320073485
26.3,1.012581032385306
26.31,1.0024322550331213
26.32,0.9876810738492822
26.33,0.9764573118875441
26.34,0.977714117401051
26.35,0.9585406454427057
26.36,0.9365888851147173
26.37,0.9307060679098961
26.38,0.8973379186753878
26.39,0.8977791970855488
26.4,0.8978033010907811
26.41,0.863220751659853
26.42,0.8424115507295328
26.43,0.8297615285786731
26.44,0.8107391469695401
26.45,0.79910082955459
26.46,0.7885172784954999
26.47,0.7634056471772992
26.48,0.7628234845139696
26.49,0.7568663894389319
26.5,0.723917005157564
26.51,0.7333158333240832
26.52,0.70834145900469
26.53,0.6986365818145577
26.54,0.6668400164204038
26.55,0.6670479232634368
26.56,0.632674250734064
26.57,0.637599691722037
26.58,0.6155377688118926
26.59,0.604499696309361
26.6,0.5723917827852506
26.61,0.5604162704614515
26.62,0.5606031550898779
26.63,0.5304619507691524
26.64,0.5299500277995078
26.65,0.49708336466794056
26.66,0.5047433458126259
26.67,0.4695191000273474
26.68,0.47303165692465404
26.69,0.4595165391084462
26.7,0.432136940908412
26.71,0.4308689079430902
26.72,0.4137018674430112
26.73,0.3918677569851059
26.74,0.37344426468285
26.75,0.3502969309975129
26.76,0.35993748937993614
26.77,0.32743971156618623
26.78,0.3308212386892793
26.79,0.3141508625372864
26.8,0.31063581416891617
26.81,0.28802828393100294
26.82,0.2751075504544161
26.83,0.273226392425241
26.84,0.2569195222504253
26.85,0.2445503874761699
26.86,0.23406284455719914
26.87,0.20215986218469276
26.88,0.2133953706544028
26.89,0.2004327613605744
26.9,0.1727925158669436
26.91,0.16934228727558187
26.92,0.16038781483203657
26.93,0.14860914015103815
26.94,0.14264252208624356
26.95,0.14314496632261484
26.96,0.12935467159991887
26.97,0.09529941954950094
26.98,0.10470619836236869
